threshold_pctile,threshold_vol20_value,index,predictor,coef,tstat,pval,N_highvol
50,0.008751,CSI300,PhotoPes_std_lag1,8e-05,0.125,0.9008,1481
50,0.008751,CSI300,PhotoPes_std_lag2,0.000572,1.154,0.2485,1481
50,0.008751,CSI300,PhotoPes_std_lag3,-0.001151,-1.773,0.0763,1481
50,0.008751,CSI300,PhotoPes_std_lag4,-0.000636,-1.097,0.2727,1481
50,0.008751,CSI300,PhotoPes_std_lag5,0.000455,0.817,0.4141,1481
50,0.008751,CSI300,TextPes_std_lag1,-0.000472,-0.846,0.3975,1481
50,0.008751,CSI300,TextPes_std_lag2,-0.000215,-0.422,0.6732,1481
50,0.008751,CSI300,TextPes_std_lag3,-0.000366,-0.657,0.5113,1481
50,0.008751,CSI300,TextPes_std_lag4,0.000369,0.628,0.5298,1481
50,0.008751,CSI300,TextPes_std_lag5,0.000912,1.461,0.1439,1481
50,0.008751,SHCOMP,PhotoPes_std_lag1,0.000108,0.177,0.8597,1481
50,0.008751,SHCOMP,PhotoPes_std_lag2,0.000663,1.466,0.1427,1481
50,0.008751,SHCOMP,PhotoPes_std_lag3,-0.000779,-1.231,0.2184,1481
50,0.008751,SHCOMP,PhotoPes_std_lag4,-0.000777,-1.38,0.1676,1481
50,0.008751,SHCOMP,PhotoPes_std_lag5,0.000316,0.605,0.5454,1481
50,0.008751,SHCOMP,TextPes_std_lag1,-0.00057,-1.068,0.2854,1481
50,0.008751,SHCOMP,TextPes_std_lag2,-0.000241,-0.5,0.6171,1481
50,0.008751,SHCOMP,TextPes_std_lag3,-0.000458,-0.872,0.383,1481
50,0.008751,SHCOMP,TextPes_std_lag4,0.000288,0.528,0.5976,1481
50,0.008751,SHCOMP,TextPes_std_lag5,0.000792,1.31,0.1903,1481
50,0.008751,SZCOMP,PhotoPes_std_lag1,0.000557,0.754,0.4509,1481
50,0.008751,SZCOMP,PhotoPes_std_lag2,0.001156,1.921,0.0548,1481
50,0.008751,SZCOMP,PhotoPes_std_lag3,-0.001273,-1.786,0.0741,1481
50,0.008751,SZCOMP,PhotoPes_std_lag4,-0.001014,-1.499,0.1339,1481
50,0.008751,SZCOMP,PhotoPes_std_lag5,0.000786,1.235,0.217,1481
50,0.008751,SZCOMP,TextPes_std_lag1,-0.00074,-1.154,0.2485,1481
50,0.008751,SZCOMP,TextPes_std_lag2,-0.000474,-0.797,0.4253,1481
50,0.008751,SZCOMP,TextPes_std_lag3,-0.000766,-1.329,0.1839,1481
50,0.008751,SZCOMP,TextPes_std_lag4,0.000353,0.518,0.6041,1481
50,0.008751,SZCOMP,TextPes_std_lag5,0.000636,0.91,0.3627,1481
50,0.008751,ChiNext,PhotoPes_std_lag1,0.000527,0.546,0.5852,1481
50,0.008751,ChiNext,PhotoPes_std_lag2,0.001617,2.078,0.0377,1481
50,0.008751,ChiNext,PhotoPes_std_lag3,-0.002409,-2.934,0.0033,1481
50,0.008751,ChiNext,PhotoPes_std_lag4,-0.00085,-1.1,0.2712,1481
50,0.008751,ChiNext,PhotoPes_std_lag5,0.001359,1.712,0.0868,1481
50,0.008751,ChiNext,TextPes_std_lag1,-0.000551,-0.721,0.4707,1481
50,0.008751,ChiNext,TextPes_std_lag2,-0.001013,-1.438,0.1505,1481
50,0.008751,ChiNext,TextPes_std_lag3,-0.000867,-1.267,0.2053,1481
50,0.008751,ChiNext,TextPes_std_lag4,0.000553,0.669,0.5034,1481
50,0.008751,ChiNext,TextPes_std_lag5,0.000869,1.048,0.2948,1481
50,0.008751,CSI500,PhotoPes_std_lag1,0.000501,0.679,0.4971,1481
50,0.008751,CSI500,PhotoPes_std_lag2,0.001134,1.903,0.0571,1481
50,0.008751,CSI500,PhotoPes_std_lag3,-0.001214,-1.657,0.0976,1481
50,0.008751,CSI500,PhotoPes_std_lag4,-0.000948,-1.386,0.1657,1481
50,0.008751,CSI500,PhotoPes_std_lag5,0.000784,1.192,0.2332,1481
50,0.008751,CSI500,TextPes_std_lag1,-0.000791,-1.192,0.2334,1481
50,0.008751,CSI500,TextPes_std_lag2,-0.000279,-0.464,0.6429,1481
50,0.008751,CSI500,TextPes_std_lag3,-0.000708,-1.211,0.226,1481
50,0.008751,CSI500,TextPes_std_lag4,0.000194,0.292,0.7706,1481
50,0.008751,CSI500,TextPes_std_lag5,0.000418,0.588,0.5563,1481
60,0.009684,CSI300,PhotoPes_std_lag1,0.000316,0.405,0.6855,1185
60,0.009684,CSI300,PhotoPes_std_lag2,0.000475,0.801,0.4231,1185
60,0.009684,CSI300,PhotoPes_std_lag3,-0.001492,-1.922,0.0546,1185
60,0.009684,CSI300,PhotoPes_std_lag4,-0.000863,-1.241,0.2146,1185
60,0.009684,CSI300,PhotoPes_std_lag5,0.000334,0.487,0.6262,1185
60,0.009684,CSI300,TextPes_std_lag1,-0.000772,-1.139,0.2545,1185
60,0.009684,CSI300,TextPes_std_lag2,-0.000387,-0.619,0.5358,1185
60,0.009684,CSI300,TextPes_std_lag3,-0.000456,-0.662,0.508,1185
60,0.009684,CSI300,TextPes_std_lag4,0.000483,0.667,0.505,1185
60,0.009684,CSI300,TextPes_std_lag5,0.001309,1.7,0.0891,1185
60,0.009684,SHCOMP,PhotoPes_std_lag1,0.000246,0.33,0.7411,1185
60,0.009684,SHCOMP,PhotoPes_std_lag2,0.000612,1.118,0.2635,1185
60,0.009684,SHCOMP,PhotoPes_std_lag3,-0.001118,-1.456,0.1453,1185
60,0.009684,SHCOMP,PhotoPes_std_lag4,-0.00108,-1.579,0.1144,1185
60,0.009684,SHCOMP,PhotoPes_std_lag5,0.000217,0.335,0.7379,1185
60,0.009684,SHCOMP,TextPes_std_lag1,-0.000867,-1.333,0.1827,1185
60,0.009684,SHCOMP,TextPes_std_lag2,-0.000392,-0.662,0.5078,1185
60,0.009684,SHCOMP,TextPes_std_lag3,-0.000532,-0.819,0.4128,1185
60,0.009684,SHCOMP,TextPes_std_lag4,0.000421,0.621,0.5347,1185
60,0.009684,SHCOMP,TextPes_std_lag5,0.001225,1.631,0.1029,1185
60,0.009684,SZCOMP,PhotoPes_std_lag1,0.000814,0.906,0.365,1185
60,0.009684,SZCOMP,PhotoPes_std_lag2,0.000818,1.147,0.2515,1185
60,0.009684,SZCOMP,PhotoPes_std_lag3,-0.001538,-1.808,0.0706,1185
60,0.009684,SZCOMP,PhotoPes_std_lag4,-0.001444,-1.777,0.0756,1185
60,0.009684,SZCOMP,PhotoPes_std_lag5,0.000915,1.181,0.2375,1185
60,0.009684,SZCOMP,TextPes_std_lag1,-0.001127,-1.464,0.1433,1185
60,0.009684,SZCOMP,TextPes_std_lag2,-0.000528,-0.723,0.4698,1185
60,0.009684,SZCOMP,TextPes_std_lag3,-0.000686,-0.98,0.3273,1185
60,0.009684,SZCOMP,TextPes_std_lag4,0.000318,0.378,0.7057,1185
60,0.009684,SZCOMP,TextPes_std_lag5,0.000926,1.072,0.2839,1185
60,0.009684,ChiNext,PhotoPes_std_lag1,0.000815,0.686,0.4925,1185
60,0.009684,ChiNext,PhotoPes_std_lag2,0.001012,1.125,0.2605,1185
60,0.009684,ChiNext,PhotoPes_std_lag3,-0.002628,-2.724,0.0064,1185
60,0.009684,ChiNext,PhotoPes_std_lag4,-0.001191,-1.279,0.201,1185
60,0.009684,ChiNext,PhotoPes_std_lag5,0.001593,1.664,0.0962,1185
60,0.009684,ChiNext,TextPes_std_lag1,-0.001066,-1.157,0.2473,1185
60,0.009684,ChiNext,TextPes_std_lag2,-0.001114,-1.277,0.2017,1185
60,0.009684,ChiNext,TextPes_std_lag3,-0.000783,-0.947,0.3435,1185
60,0.009684,ChiNext,TextPes_std_lag4,0.000502,0.49,0.6239,1185
60,0.009684,ChiNext,TextPes_std_lag5,0.001061,1.042,0.2974,1185
60,0.009684,CSI500,PhotoPes_std_lag1,0.000642,0.72,0.4716,1185
60,0.009684,CSI500,PhotoPes_std_lag2,0.000818,1.152,0.2495,1185
60,0.009684,CSI500,PhotoPes_std_lag3,-0.001568,-1.778,0.0753,1185
60,0.009684,CSI500,PhotoPes_std_lag4,-0.001395,-1.683,0.0924,1185
60,0.009684,CSI500,PhotoPes_std_lag5,0.000902,1.119,0.2632,1185
60,0.009684,CSI500,TextPes_std_lag1,-0.001212,-1.512,0.1306,1185
60,0.009684,CSI500,TextPes_std_lag2,-0.000211,-0.288,0.7736,1185
60,0.009684,CSI500,TextPes_std_lag3,-0.000658,-0.926,0.3546,1185
60,0.009684,CSI500,TextPes_std_lag4,0.000155,0.187,0.8513,1185
60,0.009684,CSI500,TextPes_std_lag5,0.000756,0.858,0.3908,1185
70,0.011081,CSI300,PhotoPes_std_lag1,0.000336,0.338,0.7351,889
70,0.011081,CSI300,PhotoPes_std_lag2,0.000405,0.551,0.5817,889
70,0.011081,CSI300,PhotoPes_std_lag3,-0.001728,-1.746,0.0809,889
70,0.011081,CSI300,PhotoPes_std_lag4,-0.000922,-1.023,0.3061,889
70,0.011081,CSI300,PhotoPes_std_lag5,0.000794,0.89,0.3733,889
70,0.011081,CSI300,TextPes_std_lag1,-0.001079,-1.249,0.2117,889
70,0.011081,CSI300,TextPes_std_lag2,-0.00047,-0.607,0.5438,889
70,0.011081,CSI300,TextPes_std_lag3,-0.001002,-1.144,0.2526,889
70,0.011081,CSI300,TextPes_std_lag4,0.000424,0.452,0.6514,889
70,0.011081,CSI300,TextPes_std_lag5,0.001382,1.402,0.1609,889
70,0.011081,SHCOMP,PhotoPes_std_lag1,0.000183,0.192,0.8474,889
70,0.011081,SHCOMP,PhotoPes_std_lag2,0.000622,0.895,0.371,889
